MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,N2O
12.5,587,10.0,6.93,12.9,6,4882,345,Wheat_maize,SI,CT,CI,Yes,-0.3
12.5,587,10.0,6.93,12.9,6,3322,0,Wheat,SM,NT,CI,No,0.1
12.5,587,10.0,6.93,12.9,6,5246,0,Wheat,SI,CT,CI,No,0.2
12.5,587,10.0,6.93,12.9,6,7899,113,Wheat,SM,NT,CI,Yes,-0.2
12.5,587,10.0,6.93,12.9,6,8128,113,Wheat,SI,CT,CI,Yes,-0.3
12.5,587,10.0,6.93,12.9,6,7932,173,Wheat,SM,NT,CI,Yes,0.2
12.5,587,10.0,6.93,12.9,6,4882,173,Wheat,SI,CT,CI,Yes,-0.3
13.4,584,10.0,7.7,38.0,5,6627,690,Wheat_maize,SM,NT,CI,Yes,0.9
13.4,584,10.0,7.7,38.0,5,7784,690,Wheat_maize,SI,CT,CI,Yes,0.64
13.4,584,10.0,7.7,38.0,5,6627,345,Maize,SM,NT,CI,Yes,0.35
13.4,584,10.0,7.7,38.0,5,7784,345,Maize,SI,CT,CI,Yes,1.1
13.4,584,10.0,7.7,38.0,6,8305,450,Wheat_maize,SI,CT,CI,Yes,0.4
13.4,584,10.0,7.7,38.0,6,5242,690,Wheat_maize,SI,CT,CI,Yes,1.01
13.4,584,10.0,7.7,38.0,6,8305,225,Maize,SI,CT,CI,Yes,0.1
13.4,584,10.0,7.7,38.0,6,8073,345,Maize,SM,NT,CI,Yes,0.88
13.4,584,10.0,7.7,38.0,6,5242,345,Maize,SI,CT,CI,Yes,0.32
6.2,477,11.1,7.23,22.9,2,3552,180,Maize,SI,CT,NI,Yes,0.41
6.2,477,11.1,7.23,22.9,2,3552,180,Maize,SI,DT,NI,Yes,0.017
6.2,477,11.1,7.23,22.9,3,3552,180,Maize,SI,CT,NI,Yes,0.534
6.2,477,11.1,7.23,22.9,3,3552,180,Maize,SI,DT,NI,Yes,0.67
12.9,550,6.5,7.82,24.0,2,4301,180,Maize,SI,CT,CI,Yes,-0.07
10.0,506,8.1,6.5,9.0,1,2664,283,Wheat,SI,DT,CI,Yes,0.4593
10.0,506,8.1,6.5,9.0,1,2664,283,Wheat,SI,CT,CI,Yes,0.8474
12.5,558,10.1,4.6,23.9,2,3840,0,Wheat_maize,SI,CT,CI,No,0.097403
12.5,558,10.1,4.6,23.9,2,3840,500,Wheat_maize,SI,CT,CI,Yes,0.19481
12.5,558,10.1,4.6,23.9,2,3440,0,Maize,SI,CT,CI,No,-0.01948
12.5,558,10.1,4.6,23.9,2,3440,250,Maize,SI,CT,CI,Yes,0.20942
13.0,583,7.1,8.4,21.0,2,5178,550,Wheat_maize,SI,CT,CI,Yes,1.458
13.0,583,7.1,8.4,21.0,2,4749,550,Wheat_maize,SM,NT,CI,Yes,0.82
13.0,583,7.1,8.4,21.0,2,3934,550,Wheat_maize,SI,CT,CI,Yes,1.11
13.0,583,7.1,8.4,21.0,2,3520,550,Wheat_maize,SM,NT,CI,Yes,1.62
13.0,583,7.1,8.4,21.0,2,4133,550,Wheat_maize,SI,CT,CI,Yes,1.61
15.3,1013,5.7,7.39,46.7,2,3600,210,Wheat,SI,CT,CI,Yes,0.35
12.2,537,6.3,6.5,22.9,3,6600,429,Wheat_maize,SM,NT,CI,Yes,-0.01
12.2,537,6.3,6.5,22.9,3,6600,429,Wheat_maize,SI,CT,CI,Yes,0.25
12.2,537,6.3,6.5,22.9,3,6600,429,Wheat_maize,SI,CT,CI,Yes,1.58
12.2,537,6.3,6.5,22.9,3,6600,227,Maize,SM,NT,CI,Yes,-0.25
12.2,537,6.3,6.5,22.9,3,6600,227,Maize,SM,NT,CI,Yes,-0.06
12.2,537,6.3,6.5,22.9,3,6600,227,Maize,SI,CT,CI,Yes,-0.18
12.2,537,6.3,6.5,22.9,3,6600,227,Maize,SI,CT,CI,Yes,0.61
8.7,610,22.7,7.1,19.3,2,3330,210,Maize,SI,CT,NI,Yes,0.24
8.7,610,22.7,7.1,19.3,2,3330,210,Maize,SI,CT,NI,Yes,0.23
8.7,610,22.7,7.1,19.3,2,3330,210,Maize,SI,CT,NI,Yes,0.16
8.7,610,22.7,7.1,19.3,2,3330,210,Maize,SI,CT,NI,Yes,0.18
7.2,180,11.0,7.78,21.3,1,5985,338,Wheat_maize,SM,NT,CI,Yes,-0.102
7.2,180,11.0,7.78,21.3,1,5619,338,Wheat_maize,SM,NT,CI,Yes,-0.178
